PREFIX,PAN_LENGTH,PAN,EXPIRY,PIN,PVV,CVD,STATUS,PRODUCT,SCHEME,PER_TXN_LIMIT,DAILY_LIMIT,SOURCE_ID,SELECTED
453211,16,4532115762087935,2912,6571,5467,568,ACTIVE,GOLD,VISA,2000.00,10000.00,GEN_SRC,N
541234,16,5412340358517705,2912,9267,8422,998,BLOCKED,GOLD,MASTERCARD,2000.00,10000.00,GEN_SRC,Y
541234,16,5412342776858828,2912,8412,1049,670,ACTIVE,GOLD,MASTERCARD,2000.00,10000.00,GEN_SRC,N
541234,16,5412343450228676,2912,8504,6731,808,ACTIVE,GOLD,MASTERCARD,2000.00,10000.00,GEN_SRC,N
453211,16,4532111308775943,2912,6169,8062,115,ACTIVE,GOLD,VISA,2000.00,10000.00,GEN_SRC,N
453211,16,4532119220559352,2912,7831,3533,036,ACTIVE,GOLD,VISA,2000.00,10000.00,GEN_SRC,N
453211,16,4532117512169252,2912,3063,7977,400,ACTIVE,GOLD,VISA,2000.00,10000.00,GEN_SRC,N
541234,16,5412348655445371,2912,6674,0021,461,ACTIVE,GOLD,MASTERCARD,2000.00,10000.00,GEN_SRC,N
453211,16,4532118194268586,2912,8175,2151,169,ACTIVE,GOLD,VISA,2000.00,10000.00,GEN_SRC,N
541234,16,5412347739296685,2912,2562,6653,455,ACTIVE,GOLD,MASTERCARD,2000.00,10000.00,GEN_SRC,N
